日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,SMA,相距SMA
2026-09-21 00:00:00,Long,TSM,445.14,2.41%,426.19,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",台积电,1D,,,,,,,,
2026-09-21 00:00:00,Short,COP,127.53,-3.26%,134.48,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",康菲石油,1D,,,,,,,,
2026-09-21 00:00:00,Short,XOM,158.3,-3.20%,165.78,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",埃克森美孚,1D,,,,,,,,
2026-09-21 00:00:00,Long,KWEB,25.18,1.41%,24.37,mfa,参数一,"{""mfa"": {""mfa_all"": 19}}",中概网络股ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,KWEB,25.18,1.41%,24.37,mfa,参数二,"{""mfa"": {""mfa_all"": 19}}",中概网络股ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,TQQQ,78.91,8.63%,71.79,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克指数ETF-ProShares三倍做多,1D,,,,,,,,
2026-09-21 00:00:00,Long,TQQQ,78.91,8.63%,71.79,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克指数ETF-ProShares三倍做多,1D,压力释放,nan-57.78-87.89-84.91-77.9,低-高-低-低,nan%-52.10%-3.38%-8.26%,24.0,17.05,,
2026-09-21 00:00:00,Long,TQQQ,78.91,8.63%,71.79,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克指数ETF-ProShares三倍做多,1D,压力释放,nan-57.78-87.89-77.9,低-高-低,nan%-52.10%-11.36%,24.0,17.05,,
2026-09-21 00:00:00,Short,SQQQ,34.6,-8.63%,38.44,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克指数ETF-ProShares三倍做空,1D,支撑释放,nan-60.26-35.24-35.72,低-低-高,nan%-41.52%-1.37%,24.0,16.01,,
2026-09-21 00:00:00,Short,SQQQ,34.6,-8.63%,38.44,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克指数ETF-ProShares三倍做空,1D,支撑释放,nan-60.26-35.24-35.72,低-低-高,nan%-41.52%-1.37%,24.0,16.01,,
2026-09-21 00:00:00,Long,SOXL,141.93,14.77%,116.94,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",半导体ETF-Direxion Daily三倍做多,1D,,,,,,,,
2026-09-21 00:00:00,Long,SOXL,141.93,14.77%,116.94,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",半导体ETF-Direxion Daily三倍做多,1D,,,,,,,,
2026-09-21 00:00:00,Short,SOXS,35.33,-14.85%,45.04,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",三倍做空半导体ETF-DirexionDaily,1D,支撑释放,nan-4621.67-31.7-36.89,低-低-高,nan%-99.31%-16.37%,24.0,50.96,,
2026-09-21 00:00:00,Long,INDA,48.5,1.00%,47.83,mfa,参数一,"{""mfa"": {""mfa_all"": 8}}",印度股指ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,INDA,48.5,1.00%,47.83,mfa,参数二,"{""mfa"": {""mfa_all"": 8}}",印度股指ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,AMD,615.52,9.95%,555.92,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",超威半导体,1D,一直亮绿,nan-266.96-584.73,低-高,nan%-119.03%,57.0,37.9,,
2026-09-21 00:00:00,Long,AMD,615.52,9.95%,555.92,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",超威半导体,1D,一直亮绿,nan-266.96-584.73,低-高,nan%-119.03%,57.0,37.9,,
2026-09-21 00:00:00,Long,AMAT,464.24,4.42%,430.86,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",应用材料,1D,,,,,,,,
2026-09-21 00:00:00,Long,CRDO,187.27,6.47%,162.29,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CRDO,1D,,,,,,,,
2026-09-21 00:00:00,Long,DRAM,61.58,3.30%,57.95,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",存储ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,ETN,435.43,2.51%,410.63,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",伊顿,1D,,,,,,,,
2026-09-21 00:00:00,Long,OUST,38.12,8.76%,33.43,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",OUST,1D,,,,,,,,
2026-09-21 00:00:00,Long,POET,8.41,7.82%,7.48,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POET,1D,,,,,,,,
2026-09-21 00:00:00,Long,ARQQ,23.53,16.89%,18.63,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARQQ,1D,,,,,,,,
2026-09-21 00:00:00,Long,DFEN,53.9,3.34%,48.91,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",3倍做多航空航天与国防ETF-Direxio,1D,,,,,,,200.0,-25.59
2026-09-21 00:00:00,Long,DFEN,53.9,3.34%,48.91,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",3倍做多航空航天与国防ETF-Direxio,1D,,,,,,,200.0,-25.59
2026-09-21 00:00:00,Long,AXON,452.06,0.96%,416.19,mfa,参数一,"{""mfa"": {""mfa_all"": 9}}",AXON,1D,,,,,,,,
2026-09-21 00:00:00,Long,AXON,452.06,0.96%,416.19,mfa,参数二,"{""mfa"": {""mfa_all"": 9}}",AXON,1D,,,,,,,,
2026-09-21 00:00:00,Long,SITM,638.32,3.92%,573.98,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SITM,1D,,,,,,,,
2026-09-21 00:00:00,Long,PL,17.07,3.96%,15.51,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",PL,1D,,,,,,,200.0,-37.32
2026-09-21 00:00:00,Long,PL,17.07,3.96%,15.51,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",PL,1D,,,,,,,200.0,-37.32
2026-09-21 00:00:00,Long,AMC,2.89,7.04%,2.5,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AMC院线,1D,,,,,,,,
2026-09-21 00:00:00,Long,TWLO,266.06,9.11%,232.41,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TWLO,1D,压力释放,130.16-203.71-238.48-229.22-258.35,高-高-低-高,56.51%-17.07%-3.88%-12.71%,28.0,19.72,,
2026-09-21 00:00:00,Long,TWLO,266.06,9.11%,232.41,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TWLO,1D,压力释放,nan-145.9-238.48-229.22-258.35,低-高-低-高,nan%-63.45%-3.88%-12.71%,28.0,19.72,,
2026-09-21 00:00:00,Long,AEHR,96.93,3.68%,84.25,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Aehr Test Systems,1D,,,,,,,,
2026-09-21 00:00:00,Long,CMCSA,22.93,0.84%,21.77,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",康卡斯特,1D,,,,,,,200.0,-13.24
2026-09-21 00:00:00,Long,CMCSA,22.93,0.84%,21.77,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",康卡斯特,1D,,,,,,,200.0,-13.24
2026-09-21 00:00:00,Long,CCL,22.31,2.15%,21.32,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",嘉年华,1D,,,,,,,200.0,-18.49
2026-09-21 00:00:00,Long,CCL,22.31,2.15%,21.32,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",嘉年华,1D,,,,,,,200.0,-18.49
2026-09-21 00:00:00,Long,XLK,194.85,2.89%,187.38,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPDR科技ETF,1D,压力释放,nan-149.36-198.26-194.07-191.53,低-高-低-低,nan%-32.74%-2.11%-1.31%,24.0,7.23,,
2026-09-21 00:00:00,Long,XLK,194.85,2.89%,187.38,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPDR科技ETF,1D,压力释放,nan-149.36-198.26-191.53,低-高-低,nan%-32.74%-3.40%,24.0,7.23,,
2026-09-21 00:00:00,Long,SMH,596.03,4.02%,561.41,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",半导体指数ETF-HOLDRs,1D,,,,,,,,
2026-09-21 00:00:00,Long,LRCX,302.28,4.92%,274.1,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",泛林集团,1D,,,,,,,,
2026-09-21 00:00:00,Long,TER,381.54,2.71%,349.75,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",泰瑞达,1D,,,,,,,,
2026-09-21 00:00:00,Long,VOO,712.78,1.57%,699.52,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vanguard标普500指数ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,VOO,712.78,1.57%,699.52,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vanguard标普500指数ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,SOXX,559.34,4.93%,523.46,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",半导体板块ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,ECHO,95.36,2.03%,90.04,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Echo Global Logistics,1D,一直亮绿,132.25-121.64-137.44-147.25-94.95,低-高-高-低,8.02%-12.99%-7.14%-35.52%,24.0,12.69,,
2026-09-21 00:00:00,Long,EUV,24.4,3.39%,22.93,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EUV,1D,,,,,,,,
2026-09-21 00:00:00,Long,INTW,32.58,24.35%,26.18,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTW,1D,一直亮绿,8.17-51.0-45.36-52.62-26.99,高-低-高-低,524.22%-11.05%-16.01%-48.72%,26.0,61.49,,
2026-09-21 00:00:00,Long,INTW,32.58,24.35%,26.18,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",INTW,1D,一直亮绿,nan-11.29-51.0-52.62-26.99,低-高-高-低,nan%-351.72%-3.19%-48.72%,26.0,61.49,,
2026-09-21 00:00:00,Long,PENG,54.91,3.02%,50.68,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PENG,1D,,,,,,,,
2026-09-21 00:00:00,Long,BOTZ,35.82,2.02%,34.81,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Global X Robotics &#38; Artificial Intelligence Thematic ETF,1D,,,,,,,,
2026-09-21 00:00:00,Short,XLE,62.46,-2.30%,64.99,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPDR能源ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,DDOG,245.05,6.58%,214.42,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DDOG,1D,,,,,,,,
2026-09-21 00:00:00,Long,NET,351.67,8.67%,303.45,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NET,1D,一直亮绿,229.15-258.88-276.82-291.0-332.22,高-高-高-高,12.97%-6.93%-5.12%-14.16%,26.0,23.36,,
2026-09-21 00:00:00,Long,NET,351.67,8.67%,303.45,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NET,1D,一直亮绿,218.22-229.15-258.88-276.82-332.22,高-高-高-高,5.01%-12.97%-6.93%-20.02%,26.0,23.36,,
2026-09-21 00:00:00,Long,MARA,13.28,0.30%,12.23,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Marathon Patent Group Inc.,1D,压力释放,nan-11.57-10.03-16.43-12.47,低-低-高-低,nan%-13.31%-63.81%-24.10%,20.0,24.82,,
2026-09-21 00:00:00,Long,QLD,96.27,5.79%,90.29,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克100指数ETF-ProShares两倍做多,1D,,,,,,,,
2026-09-21 00:00:00,Long,QLD,96.27,5.79%,90.29,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克100指数ETF-ProShares两倍做多,1D,压力释放,nan-75.15-101.12-99.57-95.04,低-高-低-低,nan%-34.55%-1.53%-4.55%,24.0,10.76,,
2026-09-21 00:00:00,Long,QLD,96.27,5.79%,90.29,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳斯达克100指数ETF-ProShares两倍做多,1D,压力释放,nan-75.15-101.12-95.04,低-高-低,nan%-34.55%-6.01%,24.0,10.76,,
2026-09-21 00:00:00,Long,HUT,103.42,4.74%,92.02,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HUT,1D,,,,,,,,
